2008,2009,2010,2011,FY12,FY13,FY14,FY15,FY16,9M17,Sales Growth,legendText,title,min,max
-18.2%,,0.8%,-2.5%,5.7%,5.2%,2.2%,-2.5%,8.3,10.6%,Hilti,Construction Suppliers,Operating Index  \nEBIT Margin,,20
-12.7%,5.0%,3.9%,2.8%,6.6%,8.4%,6.3%,2.8%,10.1,4.2%,75-Percentile,Hilti Performance,,,
-17.7%,1.9%,-0.6%,-4.7%,3.8%,3.1%,-2.5%,-4.7%,4.6,2.2%,Median,,,,
-21.2%,-1.0%,-5.0%,-9.9%,-1.0%,0.5%,-7.7%,-9.9%,3.4,-1.6%,25-Percentile,,,,
29,29,31,33,32,32,30,32,30,27,Count,,,,
